Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MD,2020,12,Male,18,Right-Handed,188,26,187,2,Bus,15,0.34,33,Athletics,1000,1000,800,1000,750,800,26,Left foot,95,90,Index finger,September,Fall,No,No,Meat,Water,Science,6,9,5,Yes - broadband connection,Text messaging,10,15,14,1,14,7,7,5,14,10,14,14,0,5,Some,Other,Rock and roll,Freeze time,Happy,Doctor or nurse,Education/Youth development
USA,MD,2020,12,Male,16,Right-Handed,180,27,177,1,Walk,20,0.307,39,Athletics,561,412,225,845,374,289,27,Same length,95,100,Ring finger,November,Fall,No,No,Rice/Noodle dishes,Water,English,8,8,4,Yes - broadband connection,Text messaging,209,330,4,1,6,4,5,0,4,2,20,6,8,1,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Actor,International aid
USA,MD,2020,12,Female,17,Right-Handed,173,25,170,3,Car,5,0.452,36,Dancing,914,925,850,950,250,250,24,Right foot,95,85,Index finger,November,Fall,Yes,No,Fruit,Water,Mathematics and statistics,9,10,4,Yes - broadband connection,Text messaging,22,24,3,2,15,10,10,0,10,8,50,4,15,3,A lot,Graduate degree,Other,Fly,Happy,Relative,Health
USA,MD,2020,12,Male,16,Right-Handed,163,23.5,152,1,Car,10,0.435,36,Swimming,850,503,364,674,668,765,25,Left foot,80,80,Same length,October,Fall,No,No,Pizza/Pasta,Coffee,History,8,9,4,Yes - broadband connection,Text messaging,12,15,3,0,6,14,2,4,3,7,56,7,0,3,Some,Undergraduate degree,Rhythm and blues (R&B),Telepathy,Happy,Actor,Other
USA,MD,2020,12,Male,17,Ambidextrous,182,27,185,2,Car,10,0.307,,Soccer,750,600,450,550,1000,900,28,Left foot,82,86,Ring finger,May,Summer,No,No,Meat,Water,Physical education,6.5,8,6,Yes - other,Text messaging,25,40,2,0.5,7,14,10,2,15,1,20,10,0,7,Some,Undergraduate degree,Rap/Hip hop,Fly,Rich,Relative,Education/Youth development
USA,MD,2020,12,Male,17,Ambidextrous,182,27,185,2,Car,10,0.307,31,Soccer,750,600,450,550,1000,900,28,Left foot,82,86,Ring finger,May,Summer,No,No,Meat,Water,Physical education,6.5,8,6,Yes - other,Text messaging,25,40,2,0.5,7,14,10,2,15,1,20,10,0,7,Some,Undergraduate degree,Rap/Hip hop,Fly,Rich,Relative,Education/Youth development
USA,MD,2020,12,Female,17,Right-Handed,157,22,152,2,Bus,20,0.488,38,Athletics,850,834,535,535,727,1000,22.5,Left foot,64,67,Ring finger,December,Fall,No,No,Pizza/Pasta,Water,Social studies,7,10,4,Yes - broadband connection,Text messaging,,,8,12,6,5,8,1,8,4,48,4,0,2,Some,Graduate degree,Rhythm and blues (R&B),Fly,Healthy,Sports person,International aid
USA,MD,2020,12,Male,17,Right-Handed,177,26,180,1,Bus,15,0.328,34,Basketball,600,800,500,550,700,900,27,Left foot,74,71,Index finger,February,Fall,Yes,No,No favorite,Water,Social studies,7,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",23,24,2,0,8,25,5,8,2,1,10,10,5,7,A lot,Graduate degree,Rap/Hip hop,Freeze time,Happy,Actor,Health
USA,MD,2020,12,Male,17,Right-Handed,178,26,184,2,Bus,17,0.3,35,Walking/Hiking,898,888,888,807,604,829,26,Same length,79,82,Ring finger,July,Fall,Yes,No,Meat,Water,Social studies,8,6,3,Yes - broadband connection,Internet chat or instant messaging,130,70,13,1,10,6,13,20,38,14,133,3,4.5,4,A lot,Graduate degree,Other,Telepathy,Happy,Relative,International aid
USA,MD,2020,12,Female,17,Right-Handed,157.5,24,171,3,Bus,15,0.349,37,Tennis,750,1000,50,50,750,1000,24,Same length,75,73,Index finger,March,Spring,Yes,No,Fruit,Water,English,6,10,2,Yes - broadband connection,Text messaging,156,114,6,10,6,5,6,3,21,14,84,35,3,7,Some,Some college,Pop,Fly,Happy,Relative,Education/Youth development
USA,MD,2020,12,Female,17,Right-Handed,157.5,24,171,3,Bus,15,0.349,37,Tennis,750,1000,50,50,750,1000,24,Same length,75,73,Index finger,March,Spring,Yes,No,Fruit,Water,English,6,10,2,Yes - broadband connection,Text messaging,156,114,6,10,6,5,6,3,21,14,84,35,3,7,Some,Some college,Pop,Fly,Happy,Relative,Education/Youth development
USA,MD,2020,12,Male,17,Right-Handed,183,28,188,3,Bus,22,0.342,47,Basketball,95,95,84,80,67,89,27,Same length,,,Ring finger,November,Winter,No,No,Other,Water,Physical education,7,9,6,Yes - broadband connection,Text messaging,87,145,6,2,8,4,8,8,10,4,20,1,5,6,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,International aid
USA,MD,2020,12,Female,17,Right-Handed,63,24,58,2,Bus,35,0.38,36,Other,1000,850,700,680,1000,1000,24,Same length,7,7,Same length,March,Fall,No,No,Meat,Juice,Mathematics and statistics,8,9,5,Yes - broadband connection,Text messaging,18,26,2,1,3,8,3,0,5,4,2,4,0,1,Very little,Undergraduate degree,Rap/Hip hop,Super strength,Happy,Other,"Wildlife, animals"
USA,MD,2020,12,Female,17,Right-Handed,148,22,148,1,Bus,15,0.506,29,Other,1000,797,668,1000,160,497,23,Same length,7.7,7.1,Index finger,February,Fall,Yes,No,Rice/Noodle dishes,Energy drink,Geography,8,13,2,Yes - broadband connection,Text messaging,50,203,4,1,2,4,7,1,15,4,8,2,20,3,A lot,Graduate degree,Punk rock,Telepathy,Happy,Actor,International aid
USA,MD,2020,12,Female,17,Right-Handed,165,,,1,Bus,20,2.987,54,Walking/Hiking,1000,900,900,900,400,500,,Same length,,,Ring finger,March,Fall,No,No,Meat,Soft drink (non-caffeinated),Social studies,7,9,6,,Text messaging,3,6,0,10,18,3,0,0,5,2,60,2,0,4,Some,Undergraduate degree,Other,Freeze time,Happy,Friend,International aid
USA,MD,2020,12,Male,17,Left-Handed,182.8,26.5,188,2,Bus,23,0.354,48,Lacrosse,60,65,78,75,90,90,27,Left foot,100,90,Index finger,March,Summer,No,Yes,Other,Water,Mathematics and statistics,8,9,3,Yes - broadband connection,Text messaging,200,238,3,5,8,3,4,6,8,3,28,6,0,0,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Other
USA,MD,2020,12,Male,17,Right-Handed,182.8,365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MD,2020,12,Male,17,Right-Handed,173,27,176,2,Car,13,2.78,47,Table Tennis,1000,936,973,957,877,888,128,Left foot,79,85,Ring finger,April,Spring,No,No,Poultry,Water,Physical education,7.5,9,2,Yes - broadband connection,Text messaging,50,50,3,6,5,2,3,1,14,2,10,10,18,2,Some,Graduate degree,Pop,Fly,Happy,Sports person,International aid
USA,MD,2020,12,Male,17,Right-Handed,172,24,,1,Car,12,0.31,41,Soccer,100,10,10,10,100,1000,23,Right foot,,,,August,Summer,Yes,No,Pizza/Pasta,Water,Physical education,7,10,4,Yes - broadband connection,Text messaging,0,40,14,0,21,6,8,50,0,0,70,0,0,0,A lot,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,International aid
USA,MD,2020,12,Male,17,Right-Handed,182.8,365.7,182.8,2,Car,7,0.275,38,Other,1000,1000,465,385,102,42,365.7,Same length,50.8,50.8,Same length,October,Fall,No,No,Meat,Water,Physical education,8,9,6,Yes - dial-up connection,Text messaging,300,300,4,4,1,3,5,3,0,4,4,0,0,1,A lot,Some college,Other,Invisibility,Happy,Sports person,Other
USA,MD,2020,12,Male,17,Right-Handed,183,25,184,1,Bus,15,0.3,45,Basketball,700,700,500,400,1000,1000,26,Left foot,67,75,Ring finger,April,Summer,No,No,Pizza/Pasta,Water,Music,8,9,4,Yes - broadband connection,Text messaging,10,8,0,0,5,7,8,50,5,4,60,0,0,4,Very little,Graduate degree,Jazz,Fly,Happy,Business person,International aid
USA,MD,2020,12,Female,17,Right-Handed,169,230,152,2,Car,30,0.331,36,Baseball/Softball,893,578,749,663,770,957,229,Right foot,78,76,Index finger,October,Fall,No,No,Vegetables,Water,History,7,8,6,Yes - broadband connection,Text messaging,22,32,6,14,15,6,10,0,18,3,20,2,3,5,A lot,Graduate degree,Pop,Fly,Happy,Politician,Health
