Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MD,2020,12,Male,16,Right-Handed,182,24,150,3,Bus,45,0.171,33,Walking/Hiking,800,0,1000,1000,1000,1000,25,Right foot,82,82,Same length,March,Fall,Yes,No,Meat,Water,History,9,8,3,Yes - broadband connection,Internet chat or instant messaging,0,0,0,0,5,7,2,7,0,1,50,0,0,0,Very little,Graduate degree,Pop,Freeze time,Happy,Teacher,Health
USA,MD,2020,12,Female,16,Right-Handed,163,22,172,2,Bus,40,0.577,50,Swimming,600,600,600,600,600,600,22,Same length,67,75,Ring finger,April,Summer,Yes,No,Rice/Noodle dishes,Water,Computers and technology,5,9,5,Yes - broadband connection,Internet chat or instant messaging,10,10,0,0,3,0,5,0,2,0,56,0,0,1,Some,Graduate degree,Pop,Fly,Happy,Other,Education/Youth development
USA,MD,2020,12,Male,16,Ambidextrous,182,20,186,1,Bus,60,0.287,39,Lacrosse,840,1000,904,620,1000,1000,22,Left foot,,76,Ring finger,June,Spring,Yes,No,Meat,Water,Mathematics and statistics,7,9,4,Yes - broadband connection,Internet chat or instant messaging,0,0,0,0,8,0,0,40,20,5,100,0,8,0,Very little,Graduate degree,Other,Telepathy,Happy,Teacher,Health
USA,MD,2020,12,,16,Left-Handed,,,,1,Bus,15,0.294,31,Swimming,800,750,500,850,800,1000,,Left foot,,,Index finger,January,Fall,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,8,9,3,Yes - broadband connection,Text messaging,,,,,20,10,5,0,0,15,100,5,0,3,A lot,Undergraduate degree,Reggae,Telepathy,Happy,Friend,Environment
USA,MD,2020,12,Female,15,Right-Handed,165,22,154,3,Bus,35,0.313,24,Martial Arts,800,600,700,800,1000,1000,21,Right foot,72,76,Ring finger,March,Fall,Yes,No,Rice/Noodle dishes,Water,Music,5,9,4,Yes - broadband connection,Text messaging,20,45,1,0,12,2,0,1,2,1,60,0,0,1,A lot,Undergraduate degree,Classical,Telepathy,Happy,Teacher,Environment
USA,MD,2020,12,Female,16,Right-Handed,155,21,151,2,Car,40,0.402,36,Soccer,866,749,358,561,775,979,21,Same length,67,68,Ring finger,April,Spring,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,7.5,8.5,3,Yes - broadband connection,Internet chat or instant messaging,9,9,2.5,0,25,5,2.5,0,0,2.5,45,2,0,1,Some,Graduate degree,Classical,Telepathy,Happy,Religious figure,Environment
USA,MD,2020,12,Female,16,Right-Handed,167,24,154,2,Car,30,0.436,35,Dancing,900,800,800,800,1000,1000,24,Same length,68,67,Index finger,June,Fall,Yes,No,Rice/Noodle dishes,Water,Science,7,9,3,Yes - broadband connection,Internet chat or instant messaging,40,80,3,0.5,5,4,1,0,8,6,40,5,2,4,A lot,Graduate degree,Other,Telepathy,Happy,Relative,Health
USA,MD,2020,12,Female,17,Right-Handed,177,24,168,2,Car,12,0.44,55,Athletics,406,551,503,369,535,684,24,Same length,75,70,Index finger,January,Fall,Yes,Yes,Desserts,Water,Mathematics and statistics,6.5,9,6,Yes - broadband connection,Text messaging,33,56,7,3,10,16,12,1,14,14,25,8,0,2,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,Education/Youth development
USA,MD,2020,12,Male,15,Right-Handed,159,27,175,2,Car,40,0.41,33,Tennis,898,775,545,679,508,636,27,Right foot,90,90,Same length,October,Spring,No,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,9,4,Yes - broadband connection,Internet chat or instant messaging,0,0,0,0,20,4,5,2,3,6,60,0,0,2,A lot,Undergraduate degree,Techno/Electronic,Freeze time,Happy,Friend,Health
USA,MD,2020,12,Male,17,Ambidextrous,144,24,170,1,Walk,10,0.354,53,Basketball,1000,884,678,901,1000,1000,23,Right foot,76,86,Ring finger,July,Spring,No,Yes,Pizza/Pasta,Water,Computers and technology,7,11,4,Yes - broadband connection,Internet chat or instant messaging,4,10,5,3,15,3,3,6,2,0.5,60,1,0,2,A lot,Undergraduate degree,Rap/Hip hop,Telepathy,Rich,Coach or club leader,Environment
USA,MD,2020,12,Male,16,Right-Handed,180,26,181,3,Bus,45,0.4,30,Tennis,900,900,900,900,1000,1000,26,Same length,74,73,Index finger,May,Winter,No,No,Meat,Milk,Science,8,9,4,Yes - broadband connection,Internet chat or instant messaging,50,50,0,3,20,10,7,5,5,5,80,15,0,1,Some,Graduate degree,Heavy metal,Fly,Happy,Musician or singer,Education/Youth development
USA,MD,2020,12,Male,16,Right-Handed,178,27,180,1,Bus,25,0.27,40,Tennis,1000,750,750,850,750,950,28,Left foot,89,89,Same length,November,Fall,Yes,No,Meat,Water,Mathematics and statistics,7.5,9,4,Yes - broadband connection,Text messaging,35,150,2,3,15,5,7,3,10,3,50,2,10,5,A lot,Graduate degree,Other,Freeze time,Happy,Politician,Other
USA,MD,2020,12,Male,17,Right-Handed,183,25,175,1,Bus,40,0.301,31,Walking/Hiking,904,930,647,947,845,861,25,Same length,93,97,Ring finger,September,Fall,No,No,Seafood,Water,Science,8-Jun,8,5,Yes - broadband connection,Internet chat or instant messaging,0,0,20,2,40,1,0,15,0,4,105,0,0,4,Some,Graduate degree,Techno/Electronic,Freeze time,Happy,Other,Health
USA,MD,2020,12,Male,16,Right-Handed,186,18,193,1,Car,5,0.284,33,Basketball,,,500,500,750,900,18,Same length,92,95,Ring finger,February,Summer,Yes,No,Desserts,Water,Science,6,10,4,Yes - broadband connection,Internet chat or instant messaging,14,10,,,,,,,,,,,,,,Undergraduate degree,Rap/Hip hop,Super strength,Rich,Teacher,Education/Youth development
USA,MD,2020,12,Male,16,Right-Handed,165,23,164,1,Bus,30,0.278,39,Walking/Hiking,845,957,861,900,642,626,24,Left foot,71,71,Same length,January,Spring,No,No,No favorite,Water,Computers and technology,7,9,4,Yes - broadband connection,Internet chat or instant messaging,5,5,1,0,30,15,0,3,3,1,50,4,0,1,A lot,Graduate degree,Other,Freeze time,Happy,Relative,Education/Youth development
USA,MD,2020,12,Female,17,Right-Handed,160,,,1,Bus,15,0.326,54,Running/Jogging,1000,1000,1000,1000,800,900,,,,,,August,Fall,No,Yes,Vegetables,Water,Science,7,9,7,Yes - broadband connection,Text messaging,10,10,3,5,15,20,3,0,4,2,40,2,0,7,A lot,Graduate degree,Other,Freeze time,Happy,Politician,Environment
USA,MD,2020,12,Male,16,Right-Handed,167,26,,3,Bus,38,,0.521,Tennis,636,818,898,947,775,775,25,Right foot,8.2,7.6,Index finger,May,Summer,Yes,No,Pizza/Pasta,Water,Computers and technology,9,10,3,Yes - broadband connection,In person,0,0,1,0,16,14,2,0,0,0,21,14,0,3,Some,Graduate degree,Other,Telepathy,Happy,Business person,International aid
USA,MD,2020,12,Female,16,Right-Handed,148,22,128,2,Bus,10,0.596,45,Tennis,791,647,599,733,904,995,20,Right foot,66,61,Same length,April,Fall,Yes,No,Fruit,Water,Languages,6,9,3,Yes - broadband connection,Internet chat or instant messaging,700,500,0,6,14,4,0,6,3,14,20,1,0,2,A lot,Graduate degree,Other,Freeze time,Healthy,Religious figure,Education/Youth development
USA,MD,2020,12,Male,16,Right-Handed,,,,1,Bus,30,0.327,30,Martial Arts,700,669,703,599,469,420,,Left foot,,,Ring finger,January,Summer,No,No,Desserts,Water,Mathematics and statistics,7,10,5,Yes - broadband connection,Internet chat or instant messaging,1,3,,0,18,7,1.5,10,13,0.3,30,0.2,0,,Some,Graduate degree,Other,Freeze time,Happy,Friend,Health
USA,MD,2020,12,Female,16,Right-Handed,167,23,167,1,,25,0.393,30,Hockey (Field),829,856,824,936,738,720,23,Same length,70,75,Ring finger,July,Spring,No,No,Pizza/Pasta,Water,Mathematics and statistics,7,11,4,Yes - broadband connection,Text messaging,10,10,5,6,26,4,8,0,4,2,60,4,0,1,A lot,Undergraduate degree,Pop,Telepathy,Happy,Friend,Environment
USA,MD,2020,12,Female,16,Right-Handed,173,,,2,Bus,15,0.356,37,Running/Jogging,900,500,500,600,700,700,,,,,Ring finger,January,Spring,No,Yes,Fruit,Water,Mathematics and statistics,7,8.5,4,Yes - other,Internet chat or instant messaging,300,50,2,4,15,10,6,0,25,5,50,1,0,6,,Graduate degree,Classical,Fly,Happy,Community leader or elder,Environment
USA,MD,2020,12,Male,16,Right-Handed,165,23.5,155,2,Boat,18,0.313,29,Walking/Hiking,722,380,155,513,1000,1000,23,Same length,80,75,Index finger,June,Winter,No,No,No favorite,Water,Mathematics and statistics,6,9,4,Yes - broadband connection,Internet chat or instant messaging,30,30,0,0,10,10,4,2,0,2,90,7,1,1,Some,Graduate degree,Classical,Fly,Healthy,Teacher,Religious
