Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2020,"12        ",Male,16,Right-Handed,5'3'',1'6'',8',1,Bus,"18 mi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OH,2019,"11        ",Female,16,Right-Handed,165,26,164,1,Car,18,,,"Hockey (Field)",,,,,,,27,"Left foot",,,,March,Fall,No,No,Meat,"Soft drink (caffeinated)",History,7,9,9,"Yes - other","In person",0,0,6,1,7,23,3,2,2,0,21,13,0,20,Some,"Undergraduate degree",Pop,Invisibility,Rich,Actor,"International aid"
USA,OH,2014,"12        ",Female,16,Right-Handed,168,23.5,171.5,1,Car,10,.25,34,Tennis,1,4,6,2,5,3,23.5,"Same length",7.6,6.4,"Index finger",June,Summer,No,No,Seafood,Water,Science,7,10,5,"Yes - other","In person",150,150,30,3,12,3,7,1,5,5,8,4,0,1,"A lot","Graduate degree",Country,Telepathy,Happy,"Musician or singer","Wildlife, animals"
USA,OH,2019,"12        ",Female,17,Right-Handed,168,24.5,168,1,Car,7,.409,44,Basketball,900,600,600,700,500,500,24.8,"Left foot",170.5,85,"Index finger",March,Summer,Yes,No,Pizza/Pasta,Water,Music,7,9,4,"Yes - other","Cell phone",70,80,30,7,5,15,0,2,20,5,25,0,15,10,"A lot",Other,"Rap/Hip hop",Fly,Rich,Relative,Environment
USA,OH,2013,"9         ",Male,15,Right-Handed,60,12,72,1,Bus,30,0.312,43,"Football (American)",1000,1000,85,85,1000,1000,12,"Same length",3,3.5,"Ring finger",August,Summer,Yes,No,Poultry,"Soft drink (caffeinated)","Physical education",8,9,5,"Yes - other","Internet chat or instant messaging",100,100,24,0,1,24,5,0,24,,,,,,,,,,,,
USA,OH,2018,"12        ",Female,18,Left-Handed,161,22,164,1,Car,10,.376,41,Dancing,176,299,417,561,722,743,24,"Left foot",77,7.5,"Ring finger",October,Fall,No,No,Other,Water,Art,7,9,5,"Yes - other","In person",30,30,18,1,0,5,0,0,7,5,2,10,12,9,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,Relative,"International aid"
USA,OH,2011,"12        ",Male,17,Left-Handed,180,27,170,1,Car,4,.398,48,Baseball/Softball,0,0,0,,1000,1000,27,"Same length",80,90,"Ring finger",May,Summer,Yes,No,Meat,Milk,"Physical education",6,10,3,"Yes - broadband connection","Text messaging",200,200,10,3,1,4,4,6,4,10,2,6,0,0,"A lot","Graduate degree","Punk rock","Super strength",Happy,Relative,Health
USA,OH,2014,"12        ",Female,19,Right-Handed,160,22,151,1,Walk,2,0.349,30,Gymnastics,700,800,650,650,800,850,22,"Same length",70,80,"Ring finger",September,Fall,No,No,Salads,Water,"Mathematics and statistics",7,8,2,"Yes - broadband connection","Text messaging",50,60,10,1,10,2,3,0,1,3,4,4,0,2,Some,"Graduate degree",Pop,Fly,Healthy,Relative,Health
USA,OH,2016,"12        ",Female,16,Right-Handed,167.6,23.5,167.5,2,Bus,30,0.387,36,Walking/Hiking,1000,631,738,524,219,219,24,"Left foot",75,65,"Index finger",October,Fall,No,No,Seafood,Water,History,7,7,5,"Yes - broadband connection","Text messaging",200,200,40,35,21,0,0,0,72,84,84,40,30,2,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,OH,2013,"9         ",Female,14,Right-Handed,511,,,1,Bus,15,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
