Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,ID,2011,"12        ",Female,17,Right-Handed,154.5,23.1,157,1,Car,1,.315,32,Dancing,556,604,775,,439,845,23.1,"Same length",91,74,"Index finger",January,Summer,No,No,Poultry,Water,"Physical education",7,9,3,"Yes - broadband connection","Text messaging",100,100,10,0,1,6,14,0,3,15,3,10,0,4,Some,"Graduate degree","Rap/Hip hop",Telepathy,Rich,"Sports person","International aid"
USA,CA,2018,"12        ",Male,15,Right-Handed,70,8,56,2,Car,15,0.342,54,Basketball,50,90,100,100,100,100,8,"Same length",4,4,"Same length",November,Fall,No,No,Pizza/Pasta,"Powdered drink",History,8,9,6,"Yes - broadband connection","Cell phone",0,4,2,0,1,6,4,3,1,0,1,5,0,1,Some,"Some college","Rap/Hip hop",Fly,Rich,"Sports person",Health
USA,MD,2018,"10        ",Female,25,Right-Handed,162.5,24.6,162.5,1,Car,30,0.382,41,Dancing,500,500,500,500,1000,1000,24.6,"Same length",38.1,38.5,"Index finger",April,Spring,Yes,No,Pizza/Pasta,Coffee,"Mathematics and statistics",7,12,2,"Yes - broadband connection","Text messaging",100,100,5,1,8,10,0,0,5,10,40,14,40,3,"A lot","Graduate degree",Country,Fly,Happy,Relative,"Education/Youth development"
USA,OH,2012,"12        ",Male,18,Right-Handed,168,24,168,1,Car,5,.397,60,Other,500,500,600,700,900,999,24,"Same length",8,89,"Same length",August,Spring,No,No,Meat,"Sports drink","Physical education",7,9,4,"Yes - broadband connection","Text messaging",50,50,20,1,5,30,10,1,5,3,5,15,15,4,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Coach or club leader","Education/Youth development"
USA,WV,2011,"11        ",Male,17,Right-Handed,182,26,182,1,Car,18,.281,37,Cycling,875,850,300,,500,600,25.5,"Right foot",72,78,"Ring finger",November,Fall,No,No,Fruit,Water,Science,6,8.5,4,"Yes - broadband connection","In person",20,20,3,.5,9,10,15,0,3,.5,5,0,5,16,"A lot","Graduate degree",Classical,Fly,Happy,"Community leader or elder",Environment
USA,CA,2021,"12        ",Male,17,Right-Handed,170.8,,68,2,Car,60,0.5,"80 ",Other,,,,,,,,,,,,February,Winter,No,No,Meat,Tea,English,7,10,7,"Yes - other",Other,0,0,0,0,0,0,0,0,0,100,0,0,100,0,,,,,Rich,"Business person",Environment
USA,IN,2012,"10        ",Female,17,Right-Handed,167,24,159,1,Car,5,.317,45,Running/Jogging,900,1000,500,1000,1000,900,23,"Right foot",70,70,"Same length",January,Summer,No,No,Seafood,Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection","Cell phone",100,100,24,8,8,2,3,0,3,2,2,4,10,3,Some,"Graduate degree","Punk rock",Invisibility,Happy,Relative,Health
USA,OH,2018,"12        ",Female,15,Ambidextrous,170.1,22,170,3,Car,8,0.543,39,Other,70,70,100,50,1000,990,23,"Left foot",29,32,"Ring finger",September,Fall,Yes,Yes,"Rice/Noodle dishes",Juice,"Mathematics and statistics",8.5,9,5,"Yes - broadband connection","Internet chat or instant messaging",4,10,5,2,5,4,4,2,7,6,7,5,0,0,"A lot","High school","Rap/Hip hop",Invisibility,Happy,Relative,"Education/Youth development"
USA,CA,2011,"12        ",Male,17,Right-Handed,175,25,178,1,Car,10,.446,39,Swimming,950,900,900,,1000,1000,25,,103,112,"Same length",April,Summer,No,No,Meat,Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","Internet chat or instant messaging",0,0,7,5,35,5,10,21,35,42,42,7,0,35,Some,"Graduate degree",Techno/Electronic,"Freeze time",Famous,"Community leader or elder","Education/Youth development"
USA,CA,2016,"12        ",Male,17,Ambidextrous,190.5,30.48,187.9,2,Car,20,.331,45,Baseball/Softball,800,850,1000,546,100,100,30.48,"Same length",127,101.6,"Ring finger",March,Summer,No,No,Vegetables,Tea,"Physical education",8,1,5,"Yes - other","Text messaging",300,400,10,1,5,3,14,0,2,3,.5,.5,8,3,"A lot","Graduate degree",Gospel,"Freeze time",Famous,Relative,"Education/Youth development"
USA,MD,2020,"11        ",Female,16,Right-Handed,165,23,165,2,Bus,10,.372,28,Other,800,720,620,700,750,720,23,"Same length",7.5,7.5,"Same length",May,Summer,No,No,Seafood,Water,"Mathematics and statistics",7,8,4,"Yes - broadband connection","Internet chat or instant messaging",4,7,8,0,10,4,0,0,0,1,10,0,0,.5,"A lot","Graduate degree","Rock and roll",Fly,Happy,Other,Environment
USA,VT,2019,"10        ",Male,15,Right-Handed,179,27,183,1,Car,8,.417,60,Lacrosse,750,750,750,800,600,925,27,"Same length",80,70,"Index finger",June,Summer,No,No,Meat,Water,"Physical education",6.5,5,3,"Yes - broadband connection","Text messaging",3,3,25,1,3,5,6,12,18,1,33,0,0,2,Some,"Undergraduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Wildlife, animals"
