Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MD,2022,11,Female,16,Right-Handed,63,,,1,Bus,35,0.393,37,Dancing,1000,893,909,1000,658,845,,,,,,March,Summer,Yes,No,Rice/Noodle dishes,Water,English,6,10,4,Yes - broadband connection,Internet chat or instant messaging,100,100,7,3,18,4,5,0,10,10,35,5,0,6,A lot,Graduate degree,Other,Freeze time,Healthy,Other,International aid
USA,MD,2022,11,Female,17,Right-Handed,161,,161,2,Bus,30,0.31,38,Other,500,700,500,500,900,999,,Same length,,,Index finger,December,Fall,No,No,Rice/Noodle dishes,Water,Science,6,9,3,,Internet chat or instant messaging,0,3,3,1,8,7,12,20,22,6,30,0,0,2,Some,Graduate degree,Other,Telepathy,Rich,Musician or singer,"Wildlife, animals"
USA,MD,2022,11,Male,16,Right-Handed,183,28,185,2,Car,45,0.23,53,Tennis,1000,1000,1000,0,1000,1000,28,Same length,80,90,Ring finger,March,Fall,Yes,No,No favorite,Water,Other,6,13,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",2,2,0,0,21,2,7,7,7,7,42,0,0,2,A lot,Graduate degree,Rhythm and blues (R&B),Freeze time,Rich,Musician or singer,Education/Youth development
USA,MD,2022,11,Male,16,Right-Handed,186,28,193,4,Car,20,0.363,60,Basketball,1000,1000,1000,1000,1000,1000,27.5,Right foot,85,80,Index finger,June,Fall,No,Yes,Pizza/Pasta,Milk,Computers and technology,7,10,4,Yes - broadband connection,Internet chat or instant messaging,5,30,10,1,10,2,5,1,5,5,40,20,0,5,A lot,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Sports person,Education/Youth development
USA,MD,2022,11,Female,16,Right-Handed,160,25,157,2,Car,7,0.307,54,Running/Jogging,800,800,800,100,1000,1000,25,,81,81,Same length,August,Summer,Yes,No,Rice/Noodle dishes,Energy drink,Computers and technology,5,8,4,Yes - other,Text messaging,500,500,8,8,20,3,15,0,10,10,100,0,0,2,A lot,Graduate degree,Rhythm and blues (R&B),Invisibility,,Sports person,Education/Youth development
USA,MD,2022,11,Male,17,Right-Handed,172.7,26,173,3,Car,30,0.304,88,Swimming,1000,1000,1000,1000,1000,1000,12,Same length,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,Some,Graduate degree,Pop,Freeze time,Happy,Other,Health
USA,MD,2022,11,Female,16,Right-Handed,175,23,173,3,Bus,40,0.331,38,Other,600,650,630,650,780,990,24,Left foot,79,88,Ring finger,July,Fall,Yes,No,Soups,Water,Mathematics and statistics,6,12,4,Yes - broadband connection,Internet chat or instant messaging,2,5,0,0,8,0,2,2,16,1,16,0,0,0,A lot,Undergraduate degree,Other,Fly,Happy,Relative,Education/Youth development
USA,MD,2022,11,Male,17,Left-Handed,185,26,185,1,Bus,15,0.4,48,Football (American),500,100,400,400,1000,1000,26,Same length,75,77,Ring finger,September,Spring,No,No,Seafood,Water,Social studies,7,10,3,Yes - broadband connection,Internet chat or instant messaging,5,13,8,0,12,3,0,20,5,1,40,0,1,1,Some,Undergraduate degree,Heavy metal,Freeze time,Rich,Relative,Health
USA,MD,2022,11,Male,16,Right-Handed,175,25,172,2,Bus,17,0.315,36,Swimming,900,750,900,850,900,900,25,Same length,65,70,Ring finger,August,Winter,Yes,No,Pizza/Pasta,Water,Computers and technology,6.5,10,4,Yes - broadband connection,Internet chat or instant messaging,2,9,7,0,7,6,10,9,1,15,20,0,0,3,Some,Undergraduate degree,Rock and roll,Invisibility,Happy,Musician or singer,Health
USA,MD,2022,11,Female,16,Right-Handed,164,24,155,3,Car,30,0.51,33,Walking/Hiking,900,700,900,900,200,200,24,Same length,66,67,Ring finger,May,Fall,Yes,No,Rice/Noodle dishes,Water,Science,7.5,9,3,Yes - broadband connection,In person,15,15,5,0,15,10,1,1,3,5,10,2,1,1,Very little,Graduate degree,Other,Freeze time,Happy,Musician or singer,Health
USA,MD,2022,11,Male,17,Left-Handed,175,26,175,3,Bus,35,0.388,26,Other,1000,1000,1000,1000,1000,1000,26,Same length,90,77,Index finger,December,Fall,No,No,Rice/Noodle dishes,Water,Music,7,9,4,Yes - broadband connection,Internet chat or instant messaging,150,300,15,0,15,0,2,15,1,5,40,0,1,5,Some,Undergraduate degree,Techno/Electronic,Invisibility,Happy,Other,Education/Youth development
USA,MD,2022,11,Female,17,Right-Handed,160,24,147,3,Bus,25,0.433,41,Swimming,700,700,800,600,900,900,24,Same length,75,72,Ring finger,November,Fall,Yes,No,Breads/Sandwiches,Water,Science,6,9,5,Yes - broadband connection,Text messaging,200,200,4,2,20,3,8,1,3,6,96,0,0,2,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Musician or singer,International aid
USA,MD,2022,11,Male,16,Left-Handed,167,25,170,1,Bus,40,0.388,40,Table Tennis,754,417,283,257,850,824,25,Same length,79,86,Ring finger,October,Fall,Yes,,Pizza/Pasta,Water,Science,5,7,4,Yes - other,Internet chat or instant messaging,10,5,0,0,30,1,0,10,3,5,50,5,0,1,A lot,Undergraduate degree,Pop,Freeze time,Happy,Friend,Health
USA,MD,2022,11,Male,17,Right-Handed,152,25,157,2,Bus,60,0.4,31,Other,,,,,,,26,Left foot,69,70,Ring finger,December,,No,No,Poultry,Water,Computers and technology,6,9,6,Yes - broadband connection,Internet chat or instant messaging,14,11,5,0,20,10,2,5,5,3,15,10,0,5,Some,Graduate degree,,Telepathy,Healthy,,Education/Youth development
USA,MD,2022,11,Male,17,Left-Handed,174,26,167,2,Bus,22,0.384,28,Swimming,642,594,722,519,545,824,25,Right foot,74,77,Ring finger,December,Winter,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,6,8,4,Yes - broadband connection,Internet chat or instant messaging,,,4,0,9,3,2,10,0,4,36,4,0,2,Some,Graduate degree,Heavy metal,Freeze time,Famous,Other,Health
USA,MD,2022,11,Male,16,Right-Handed,170,26,164,3,Bus,30,0.341,26,Running/Jogging,877,829,856,856,556,797,25,Right foot,71,71,Same length,March,Fall,Yes,No,Meat,Water,Mathematics and statistics,3,11,4,Yes - broadband connection,Text messaging,300,400,0,1,36,1,9,0,15,18,15,0,0,0,A lot,Other,Rap/Hip hop,Telepathy,Happy,Relative,Environment
USA,MD,2022,11,Male,16,Right-Handed,169,24,159,2,Car,15,0.306,32,Tennis,422,316,353,663,1000,1000,24,Same length,81,90,Ring finger,April,Summer,Yes,No,Meat,Milk,Science,6.5,9,3,Yes - broadband connection,In person,10,10,35,0,2,6,4,10,0,2,50,0,0,0,Very little,Graduate degree,Pop,Freeze time,Happy,Other,Environment
USA,MD,2022,11,Male,15,Right-Handed,176.5,25,179,2,Car,15,0.29,40,Running/Jogging,900,800,900,900,999,999,25,Same length,,,Index finger,February,Fall,No,No,Meat,Water,Science,6,7,4,Yes - broadband connection,Text messaging,,,,,,,,,,,,,,,A lot,Graduate degree,Rap/Hip hop,Super strength,Healthy,Sports person,Education/Youth development
USA,MD,2022,11,Male,16,Left-Handed,167.6,23,167.6,4,Bus,16,0.312,46,Soccer,500,10,400,10,50,0,23,Same length,80,70,Index finger,June,Spring,Yes,No,Other,Water,Computers and technology,8.5,6,4,Yes - broadband connection,In person,20,28,,,,,,,,,,,,,A lot,Graduate degree,Classical,Freeze time,Rich,Friend,Religious
USA,MD,2022,11,Female,16,Right-Handed,162,,162,3,Car,24,0.366,30,Other,,,,,,,,,72,76,Ring finger,July,Summer,No,No,No favorite,Water,Computers and technology,6.5,7,4,Yes - broadband connection,,2,6,,,,,,,,,,,,,Some,Graduate degree,,Fly,Healthy,Relative,Health
USA,MD,2022,11,Male,17,Right-Handed,176,25.5,177.8,3,Car,20,0.281,35,Soccer,80,80,80,80,80,80,26,Left foot,26,25.4,Index finger,October,Fall,No,No,Other,Water,Computers and technology,6.5,8,4,Yes - broadband connection,Text messaging,100`,250,4,0.5,2.5,3,8,4,1.5,1.5,100,3,0,3,Some,Graduate degree,Rap/Hip hop,Freeze time,Happy,Friend,Environment
USA,MD,2022,11,Male,16,Right-Handed,169,24,163,3,Bus,36,0.365,48,Basketball,861,861,695,861,920,1000,24,Same length,79,78,Index finger,June,Fall,No,No,Rice/Noodle dishes,Water,Computers and technology,7,9,3,Yes - broadband connection,Internet chat or instant messaging,0,0,5,0,6,8,2,10,8,7,50,0,0,1,Some,Undergraduate degree,Techno/Electronic,Freeze time,Happy,Business person,Environment
